Asset Sub Type,Asset Type,Uniformat Level 5,RS Means Number,Trade,Annual Labor Hours,Material,Who can perform work,Dock & Door Tech,Elevator Subcontractor,GMW,Electrical,HVAC,Fire System Contractor,Plumber,Crane Subcontractor,Contractor,Grounds,Subcontractor PM Work,Fire Tech,Material Handling,Vehicle Mechanic,Subcontractor,MATERIAL HANDELING
Uninterruptible Power Supply,ELECTRICAL,D5095230,D50952302950,Electrical,78.20,$325.00,Contractor,,,,,,,,,78.20,,,,,,,
Battery System with Charger,ELECTRICAL,D5095240,D50952401950,Electrical,6.93,$35.50,Electrical,,,,6.93,,,,,,,,,,,,
Emergency lighting,ELECTRICAL,D50952502,D50952502950,GMW,2.84,$50.00,GMW,,,2.84,,,,,,,,,,,,,
Hydraulic Vehicle Lift,EQUIPMENT,E1035100,E10351001950,GMW,2.33,$695.00,GMW/Dock & Door Tech,1.22,,1.10,,,,,,,,,,,,,
Hydraulic Dock Leveler and Trailer Restraint,EQUIPMENT,E1035310,E10353101950,Dock & Door Tech,1.63,$40.50,GMW/Dock & Door Tech,0.88,,0.76,,,,,,,,,,,,,
Electric Bridge Crane,CONVEYING,E1095122,E10951221950,Crane Subcontractor,15.86,$235.00,Crane Subcontractor,,,,,,,,15.86,,,,,,,,
Pneumatic Hoist,CONVEYING,E1095125,E10951251950,Crane Subcontractor,1.31,$227.00,GMW/Crane Subcontractor,,,1.31,,,,,,,,,,,,,
Electric Chain Cable Hoist Winch,CONVEYING,E1095126,E10951261950,Crane Subcontractor,6.52,$227.00,GMW/Crane Subcontractor,,,4.75,,,,,1.77,,,,,,,,
Beverage Dispensing Unit,EQUIPMENT,E1095302,E10953021950,GMW,4.44,$35.00,GMW,,,4.44,,,,,,,,,,,,,
Tilting Gas Electric Braising Pan,EQUIPMENT,E1095304,E10953041950,GMW,0.52,$35.00,GMW,,,0.52,,,,,,,,,,,,,
Electric Bread Slicer,EQUIPMENT,E1095306,E10953061950,GMW,2.46,$77.00,GMW,,,2.46,,,,,,,,,,,,,
Gas Conveyor Broiler,EQUIPMENT,E1095310,E10953101950,GMW,4.82,$81.50,GMW,,,4.82,,,,,,,,,,,,,
Electric Hot Dog Broiler,EQUIPMENT,E10953102,E10953102950,GMW,1.75,$22.50,GMW,,,1.75,,,,,,,,,,,,,
Gas Electric Broiler Oven,EQUIPMENT,E10953103,E10953103950,GMW,5.26,$6.35,GMW,,,5.26,,,,,,,,,,,,,
Electric Chopper,EQUIPMENT,E1095312,E10953121950,GMW,0.75,$100.00,GMW,,,0.75,,,,,,,,,,,,,
Coffee Maker,EQUIPMENT,E1095314,E10953141950,GMW,4.65,$70.00,GMW,,,4.65,,,,,,,,,,,,,
